date,real,pred
2023-02-22,1832.0,1860.138494130791
2023-02-23,1818.0,1855.7792390378415
2023-02-24,1808.8000488281,1850.7774535551189
2023-02-27,1817.0,1842.5050720124407
2023-02-28,1828.9000244141,1843.3846405203385
2023-03-01,1837.6999511719,1840.673118134356
2023-03-02,1833.5,1848.670078730646
2023-03-03,1847.6999511719,1845.605545143503
2023-03-06,1847.9000244141,1845.0887531775634
2023-03-07,1813.9000244141,1839.2026999388386
2023-03-08,1812.6999511719,1836.372041103154
2023-03-09,1829.3000488281,1830.8799447734855
2023-03-10,1862.0,1835.765477457562
2023-03-13,1911.6999511719,1846.5791703604016
2023-03-14,1906.1999511719,1859.8757643665244
2023-03-15,1926.5999755859002,1863.0651097759194
2023-03-16,1919.0,1875.435489069941
2023-03-17,1969.8000488281,1880.2236786148442
2023-03-20,1979.1999511719,1901.730273049689
2023-03-21,1938.0,1903.9697442176405
2023-03-22,1946.8000488281,1893.5682382913135
2023-03-23,1993.8000488281,1889.7520293453101
2023-03-24,1982.0999755859,1903.1103170368217
2023-03-27,1952.4000244141,1928.7090014784042
2023-03-28,1972.4000244141,1935.4701065592944
2023-03-29,1966.0999755859,1941.5222244441047
2023-03-30,1980.3000488281,1939.9732075285206
2023-03-31,1969.0,1947.918306494089
2023-04-03,1983.9000244141,1955.345430991454
2023-04-04,2022.1999511719,1952.2082207347078
2023-04-05,2020.9000244141,1972.5547607946135
2023-04-06,2011.9000244141,1978.7720349212746
2023-04-10,1989.0999755859,1985.8104446202608
2023-04-11,2004.8000488281,1985.2435976301438
2023-04-12,2010.9000244141,1989.5029122101505
2023-04-13,2041.3000488281,1979.5284019493192
2023-04-14,2002.1999511719,1980.8643095299478
2023-04-17,1994.1999511719,1978.2965813836206
2023-04-18,2007.4000244141,1988.7502347708469
2023-04-19,1995.1999511719,1992.4905946784172
2023-04-20,2007.5999755859,1992.538311235094
2023-04-21,1979.5,2009.5766889716394
2023-04-24,1989.0999755859,1990.017023430185
2023-04-25,1994.0,1992.417986637901
2023-04-26,1985.6999511719,1998.412329567627
2023-04-27,1989.9000244140998,1994.9636184019064
2023-04-28,1990.0999755859,1996.751161626005
2023-05-01,1983.4000244141,1996.3520785078401
2023-05-02,2014.3000488281,1998.2985435891328
2023-05-03,2028.5999755859002,1998.8473858327125
2023-05-04,2048.0,2008.268245428761
2023-05-05,2017.4000244141,2016.7590406525114
2023-05-08,2026.3000488281,2005.2029535986144
2023-05-09,2036.1999511719,1998.5417334876386
2023-05-10,2030.5,2001.1659375056988
2023-05-11,2014.6999511719,2020.7645342434912
2023-05-12,2014.5,2016.8216859862703
2023-05-15,2018.0,2003.9421928790168
2023-05-16,1988.4000244141,2002.7966240648564
2023-05-17,1980.6999511719,1999.6059495009165
2023-05-18,1956.5,2007.4492699959205
2023-05-19,1978.6999511719,2004.6718343137034
2023-05-22,1974.8000488281,1998.9818336179449
2023-05-23,1972.4000244141,1998.9386622017414
2023-05-24,1962.8000488281,1991.747179113291
2023-05-25,1943.0999755859,1997.2649869213585
2023-05-26,1944.0999755859,1984.8328885390963
2023-05-30,1958.0,1975.5070340347356
2023-05-31,1963.9000244141,1975.46460241675
2023-06-01,1978.0,1980.2723379551953
2023-06-02,1952.4000244141,1983.1453227226548
2023-06-05,1958.0,1965.2536753861502
2023-06-06,1965.5,1962.1892998018423
