date,real,pred
2023-09-08,1918.4000244141,1893.3646
2023-09-11,1923.3000488281,1890.964
2023-09-12,1911.3000488281,1891.9551
2023-09-13,1909.0999755859,1888.9365
2023-09-14,1910.0,1885.5447
2023-09-15,1923.6999511719,1882.9362
2023-09-18,1931.5,1886.3386
2023-09-19,1932.0,1892.643
2023-09-20,1945.5999755859,1897.551
2023-09-21,1919.1999511719002,1904.7963
2023-09-22,1925.4000244141,1899.8796
2023-09-25,1916.5999755859,1894.476
2023-09-26,1900.4000244141,1887.2052
2023-09-27,1871.5999755859,1876.1154
2023-09-28,1860.4000244141,1857.6835
2023-09-29,1848.0999755859,1840.102
2023-10-02,1830.0,1825.8353
2023-10-03,1824.5999755859002,1812.1498
2023-10-04,1818.5,1802.4651
2023-10-05,1816.5999755859,1796.0371
2023-10-06,1830.1999511719,1792.1917
2023-10-09,1849.5,1796.1722
2023-10-10,1861.0000000000002,1808.7686
2023-10-11,1872.8000488281,1823.487
2023-10-12,1869.3000488281,1836.8844
2023-10-13,1927.4000244141,1842.8324
2023-10-16,1921.0999755859,1865.0188
2023-10-17,1922.6999511719,1881.4492
2023-10-18,1955.3000488281,1890.8796
2023-10-19,1968.4000244141,1906.2533
2023-10-20,1982.5,1922.5918
2023-10-23,1976.3000488281,1938.6007
2023-10-24,1975.0,1946.237
2023-10-25,1984.0999755859,1948.4113
2023-10-26,1987.1999511718998,1951.613
2023-10-27,1988.5999755859,1955.5701
2023-10-30,1996.1999511719,1958.8306
2023-10-31,1985.1999511719,1963.3419
2023-11-01,1978.8000488281,1962.0156
2023-11-02,1985.5999755859,1955.6428
2023-11-03,1991.5,1952.2445
2023-11-06,1981.5999755859,1951.5459
2023-11-07,1966.8000488281,1947.3695
2023-11-08,1951.5,1937.153
2023-11-09,1964.1999511719,1922.4532
2023-11-10,1932.5999755859,1915.5082
2023-11-13,1945.5,1901.8425
2023-11-14,1961.8000488281,1896.2493
2023-11-15,1960.0999755859,1901.5015
2023-11-16,1983.9000244141,1908.5109
2023-11-17,1981.5999755859,1922.8665
2023-11-20,1977.6999511718998,1933.3635
2023-11-21,1999.3000488281,1937.2664
2023-11-22,1991.4000244141,1945.9156
2023-11-24,2002.1999511719,1950.6858
2023-11-27,2011.8000488281,1957.7379
2023-11-28,2039.6999511719,1965.6472
2023-11-29,2047.0999755859,1983.1471
2023-11-30,2038.0999755859002,2000.7308
2023-12-01,2071.0,2007.9202
2023-12-04,2024.0999755859,2021.1395
2023-12-05,2018.5,2013.506
2023-12-06,2030.5,2000.3846
2023-12-07,2029.9000244141,1994.8789
2023-12-08,1998.3000488281,1994.0753
2023-12-11,1978.0,1983.9551
2023-12-12,1977.8000488281,1967.0002
2023-12-13,1982.3000488281,1953.5264
2023-12-14,2030.1999511719,1948.2372
2023-12-15,2021.0999755859,1965.408
2023-12-18,2026.3000488281,1979.429
2023-12-19,2038.4000244141,1987.9961
2023-12-20,2034.5,1994.79
2023-12-21,2039.0999755859,1996.2107
2023-12-22,2057.1000976562,1996.8236
2023-12-26,2058.1999511719,2003.2003
2023-12-27,2081.8999023438,2011.1924
2023-12-28,2073.8999023438,2025.5635
2023-12-29,2062.3999023438,2033.823
2024-01-02,2064.3999023438,2033.2545
2024-01-03,2034.1999511719,2030.1594
2024-01-04,2042.3000488281,2016.9425
2024-01-05,2042.4000244141,2009.298
2024-01-08,2026.5999755859,2006.6931
2024-01-09,2026.4000244141,2002.5763
2024-01-10,2021.6999511719,1999.901
2024-01-11,2014.3000488281,1997.093
2024-01-12,2046.6999511719,1991.7994
2024-01-16,2026.0,1999.4355
2024-01-17,2002.5999755859,2000.3866
2024-01-18,2018.5999755859,1988.2982
2024-01-19,2026.5,1983.1123
2024-01-22,2019.8000488281,1983.9736
2024-01-23,2023.6999511719,1983.244
2024-01-24,2013.9000244141,1983.5496
2024-01-25,2016.9000244141,1981.3328
2024-01-26,2016.8000488281,1980.9902
2024-01-29,2025.1999511719,1981.9344
2024-01-30,2031.5,1986.724
2024-01-31,2048.3999023438,1992.5892
2024-02-01,2053.0,2004.2074
2024-02-02,2036.0999755859,2015.1793
2024-02-05,2025.6999511719,2015.5723
2024-02-06,2034.5,2008.9833
2024-02-07,2035.1999511719,2005.9617
2024-02-08,2032.1999511719,2005.5587
2024-02-09,2023.3000488281,2005.6017
2024-02-12,2018.1999511719,2001.6505
2024-02-13,1992.9000244141,1996.0051
2024-02-14,1990.3000488281,1982.2097
2024-02-15,2002.0999755859,1969.4221
2024-02-16,2011.5,1966.8446
2024-02-20,2027.5,1971.5516
2024-02-21,2022.3000488281,1982.9083
2024-02-22,2019.6999511719,1990.4053
2024-02-23,2038.5999755859,1992.1792
2024-02-26,2028.5,1997.9994
2024-02-27,2034.0,1998.9426
2024-02-28,2033.0,1998.7809
2024-02-29,2045.6999511719,1998.884
2024-03-01,2086.8999023438,2004.4574
2024-03-04,2117.6999511719,2024.5588
2024-03-05,2133.4999999999995,2053.4907
2024-03-06,2150.3000488281,2080.5571
2024-03-07,2158.0,2102.413
2024-03-08,2178.6000976562,2116.9446
2024-03-11,2182.5,2130.9275
2024-03-12,2160.3999023438,2141.1067
2024-03-13,2175.3999023438,2137.9795
2024-03-14,2163.0,2137.326
2024-03-15,2157.3000488281,2132.5605
2024-03-18,2160.6999511719,2126.3123
2024-03-19,2156.3000488281,2123.7026
2024-03-20,2157.8999023438,2121.5398
2024-03-21,2182.3999023438,2120.0913
2024-03-22,2158.1000976562,2127.8638
2024-03-25,2174.8000488281,2125.6917
2024-03-26,2175.6000976562,2126.6113
2024-03-27,2190.6000976562,2127.6467
2024-03-28,2217.3999023438005,2134.497
2024-04-01,2236.5,2150.5532
2024-04-02,2261.0,2170.4053
2024-04-03,2294.3999023438,2192.8599
2024-04-04,2288.8000488281,2219.44
2024-04-05,2325.6999511719,2235.01
2024-04-08,2331.6999511719,2254.7495
2024-04-09,2343.5,2269.9363
2024-04-10,2329.6000976562,2283.5813
2024-04-11,2354.8000488281,2287.021
2024-04-12,2356.1999511719,2297.0554
2024-04-15,2365.8000488281,2307.1533
2024-04-16,2390.8000488281,2317.5571
2024-04-17,2371.6999511719,2334.0764
2024-04-18,2382.3000488281,2339.2427
2024-04-19,2398.3999023438,2342.3965
2024-04-22,2332.1999511719,2349.1572
2024-04-23,2327.6999511719,2328.0583
2024-04-24,2324.5,2303.6917
2024-04-25,2329.8000488281,2286.281
2024-04-26,2334.8000488281,2279.2607
2024-04-29,2345.3999023438,2280.9614
2024-04-30,2291.3999023438,2288.801
2024-05-01,2299.8999023438,2274.3909
2024-05-02,2299.1999511719,2260.8906
2024-05-03,2299.0,2251.8235
2024-05-06,2321.6000976562,2247.387
2024-05-07,2315.1999511719,2256.6072
2024-05-08,2313.6000976562,2264.6567
2024-05-09,2332.1000976562,2269.9614
2024-05-10,2367.3000488281,2279.9
2024-05-13,2336.1000976562,2301.5312
2024-05-14,2353.3999023437996,2307.8965
2024-05-15,2388.6999511719,2313.9475
2024-05-16,2380.0,2331.0105
2024-05-17,2412.1999511718996,2343.4365
2024-05-20,2433.8999023438,2361.6736
2024-05-21,2421.6999511719,2383.802
2024-05-22,2389.1999511719,2394.387
2024-05-23,2335.0,2385.5776
2024-05-24,2332.5,2352.3652
2024-05-28,2355.1999511719,2323.6553
2024-05-29,2340.3000488281,2316.564
2024-05-30,2342.8999023438,2313.9827
2024-05-31,2322.8999023438,2315.779
2024-06-03,2346.6000976562,2308.815
2024-06-04,2325.5,2308.7993
2024-06-05,2354.1000976562,2303.937
2024-06-06,2370.3000488281,2309.0195
2024-06-07,2305.1999511719,2320.9155
2024-06-10,2307.6999511719,2304.849
2024-06-11,2307.5,2285.596
2024-06-12,2336.0,2271.5288
2024-06-13,2300.1999511719,2277.6985
2024-06-14,2331.3999023438,2274.6846
2024-06-17,2312.3999023438,2282.6038
2024-06-18,2330.3999023438,2284.0325
2024-06-20,2353.8000488281,2289.539
2024-06-21,2316.3999023438,2304.139
2024-06-24,2330.0,2302.706
2024-06-25,2316.6000976562,2301.8115
2024-06-26,2299.1999511719,2296.0923
2024-06-27,2324.5,2286.9956
2024-06-28,2327.6999511719,2290.2048
2024-07-01,2327.6000976562,2297.6052
2024-07-02,2323.0,2304.6465
2024-07-03,2359.8000488281,2305.2832
2024-07-05,2388.5,2315.7842
2024-07-08,2355.1999511719,2335.6255
2024-07-09,2360.1000976562,2338.2893
2024-07-10,2372.1999511719,2336.7815
2024-07-11,2415.0,2337.87
2024-07-12,2414.0,2355.1504
2024-07-15,2422.8999023438,2371.7922
2024-07-16,2462.3999023438,2385.289
2024-07-17,2454.8000488281,2407.971
2024-07-18,2451.8000488281,2420.6887
2024-07-19,2395.5,2424.398
2024-07-22,2392.0000000000005,2399.8284
2024-07-23,2404.6000976562,2373.3333
2024-07-24,2413.3000488281,2363.4275
2024-07-25,2351.8999023438,2366.426
2024-07-26,2380.0,2349.8435
2024-07-29,2377.3000488281,2343.1453
2024-07-30,2405.0,2342.0618
2024-07-31,2426.5,2352.5886
2024-08-01,2435.0,2371.628
2024-08-02,2425.6999511719,2387.7998
2024-08-05,2401.6999511719,2391.513
2024-08-06,2389.1000976562,2380.61
2024-08-07,2390.5,2362.781
2024-08-08,2422.1999511719,2350.913
2024-08-09,2432.1000976562,2359.1523
2024-08-12,2462.3999023438,2375.021
2024-08-13,2466.6999511719,2400.2075
2024-08-14,2439.3999023438,2420.8975
2024-08-15,2453.1000976562,2421.787
2024-08-16,2498.6000976562,2419.6028
2024-08-19,2501.8000488281,2434.5232
2024-08-20,2511.3000488281,2453.2085
2024-08-21,2508.3999023438005,2470.679
2024-08-22,2478.8999023438,2480.3118
2024-08-23,2508.3999023438005,2471.4646
2024-08-26,2517.6999511719,2471.9797
2024-08-27,2516.0,2478.5203
2024-08-28,2501.0,2482.5784
2024-08-29,2525.6999511719,2478.124
2024-08-30,2493.8000488281,2481.005
2024-09-03,2489.8999023438,2473.6216
2024-09-04,2493.3999023438,2463.1907
2024-09-05,2511.3999023438,2456.015
2024-09-06,2493.5,2459.6333
2024-09-09,2501.8000488281,2460.966
2024-09-10,2512.3000488281,2463.2683
2024-09-11,2512.1000976562,2469.4417
2024-09-12,2551.1999511719,2473.337
2024-09-13,2581.3000488281,2489.1667
2024-09-16,2580.3999023438,2513.6987
2024-09-17,2564.3000488281,2531.2534
2024-09-18,2570.6999511719,2533.8606
2024-09-19,2588.0,2533.2273
2024-09-20,2619.8999023438005,2538.973
2024-09-23,2626.5,2557.3096
2024-09-24,2651.1999511719,2576.3926
2024-09-25,2659.1999511719,2597.7856
2024-09-26,2669.8999023438,2615.2456
2024-09-27,2644.3000488281,2630.0842
2024-09-30,2636.1000976562,2627.704
2024-10-01,2667.3000488281,2616.1975
2024-10-02,2647.1000976562,2618.6594
2024-10-03,2657.1000976562,2616.92
2024-10-04,2645.8000488281,2619.162
2024-10-07,2644.8000488281,2618.1404
2024-10-08,2615.0,2614.4946
2024-10-09,2606.0,2599.0837
2024-10-10,2620.6000976562,2581.7595
2024-10-11,2657.6000976562,2575.9148
2024-10-14,2647.8000488281,2589.3806
2024-10-15,2661.3999023438,2601.323
2024-10-16,2674.0,2612.8855
2024-10-17,2691.0,2623.7327
2024-10-18,2713.6999511719,2635.9023
2024-10-21,2723.1000976562,2653.5798
2024-10-22,2744.1999511719,2670.0767
2024-10-23,2714.3999023438,2688.7517
2024-10-24,2734.8999023438,2689.9783
2024-10-25,2740.8999023438,2692.4124
2024-10-28,2742.8999023438,2696.5457
2024-10-29,2768.3999023438,2701.9194
2024-10-30,2788.5,2717.4304
2024-10-31,2738.3000488281,2739.0203
2024-11-01,2738.6000976562,2734.8523
2024-11-04,2736.1000976562,2723.5398
2024-11-05,2740.3000488281,2713.235
2024-11-06,2667.6000976562,2708.5476
2024-11-07,2698.3999023438,2679.133
2024-11-08,2687.5,2664.8313
2024-11-11,2611.1999511719,2657.3083
2024-11-12,2600.0,2625.2117
2024-11-13,2580.8000488281,2591.5747
2024-11-14,2568.1999511719,2562.9668
2024-11-15,2565.6999511719,2541.4426
2024-11-18,2610.6000976562,2529.9143
2024-11-19,2627.1000976562,2543.4878
2024-11-20,2648.1999511719,2567.6604
2024-11-21,2672.1000976562,2594.5059
2024-11-22,2709.8999023438,2620.4229
2024-11-25,2616.8000488281,2649.7678
2024-11-26,2620.3000488281,2633.514
2024-11-27,2639.8999023438,2610.4753
2024-11-29,2657.0,2602.7173
2024-12-02,2634.8999023438,2611.921
2024-12-03,2644.6999511719,2616.4883
2024-12-04,2653.8000488281,2622.9026
2024-12-05,2626.6000976562,2631.0083
2024-12-06,2638.6000976562,2627.6406
2024-12-09,2664.8999023438,2626.0667
2024-12-10,2697.6000976562,2636.288
2024-12-11,2733.8000488281,2659.4744
2024-12-12,2687.5,2690.956
2024-12-13,2656.0,2693.2747
2024-12-16,2651.3999023438,2672.801
2024-12-17,2644.3999023438005,2648.4314
2024-12-18,2636.5,2628.4187
2024-12-19,2592.1999511719,2614.0198
2024-12-20,2628.6999511719,2591.307
2024-12-23,2612.3000488281,2585.7898
2024-12-24,2620.0,2580.8743
2024-12-26,2638.8000488281,2582.5312
2024-12-27,2617.1999511719,2591.9072
2024-12-30,2606.1000976562,2592.3174
2024-12-31,2629.1999511719,2586.1387
